Month;Day;Hour;Temperature;Precipitation;WindSpeed;WindDirection;Cloudiness;RelativeHumidity;AirPressure
1;1;0;13.37;0.00;10.95;200.3;8;69.08;1005.20
1;1;1;13.51;0.00;11.31;197.2;7;67.43;1005.67
1;1;2;13.34;0.65;10.38;198.7;7;67.15;1006.64
1;1;3;11.91;0.00;9.88;217.1;7;73.25;1007.61
1;1;4;11.54;0.00;8.29;207.8;7;77.64;1008.26
1;1;5;10.98;0.00;8.06;202.1;8;76.96;1009.06
1;1;6;10.73;0.00;7.23;204.8;8;76.73;1009.84
1;1;7;10.69;0.00;6.82;213.9;8;76.71;1010.93
1;1;8;10.60;0.00;7.40;196.0;8;79.85;1011.53
1;1;9;11.05;0.00;7.19;197.0;8;84.16;1011.94
1;1;10;11.75;0.00;8.77;194.6;3;80.66;1012.41
1;1;11;11.76;0.00;8.08;196.3;8;78.76;1012.51
1;1;12;12.30;0.00;7.91;194.9;8;77.03;1012.02
1;1;13;12.07;0.00;7.61;199.1;8;76.06;1011.77
1;1;14;11.90;0.00;6.62;189.8;8;77.85;1011.57
1;1;15;12.06;0.00;6.41;186.4;8;79.58;1011.35
1;1;16;11.75;0.00;7.11;175.7;8;83.04;1010.88
1;1;17;11.17;0.03;6.19;174.6;8;86.50;1010.20
1;1;18;10.87;0.00;5.92;176.1;8;88.88;1009.82
1;1;19;10.50;0.59;5.16;167.0;8;91.36;1009.34
1;1;20;10.45;0.06;4.79;163.9;8;92.76;1008.26
1;1;21;10.80;0.00;6.12;156.7;8;93.13;1007.79
1;1;22;11.33;0.00;6.81;183.2;8;92.16;1007.56
1;1;23;11.27;0.00;5.67;193.1;8;90.29;1007.16
1;2;0;11.18;0.00;5.60;179.8;8;89.91;1006.76
1;2;1;11.78;0.00;6.80;179.7;8;89.16;1006.77
1;2;2;11.35;0.00;8.05;205.1;8;89.66;1007.13
1;2;3;9.63;0.28;5.30;206.8;8;92.28;1008.52
1;2;4;9.16;0.00;4.71;285.7;8;93.79;1009.97
1;2;5;9.02;0.00;4.20;264.1;8;94.22;1011.21
1;2;6;8.95;0.00;4.66;247.3;8;93.99;1012.14
1;2;7;8.92;0.00;4.43;233.5;7;93.62;1013.13
1;2;8;8.75;0.00;4.19;217.4;7;93.35;1013.89
1;2;9;8.70;0.00;4.87;213.2;8;93.08;1014.55
1;2;10;8.97;0.33;6.68;203.4;8;92.66;1015.39
1;2;11;8.89;0.09;4.73;232.1;7;92.24;1015.52
1;2;12;9.06;0.00;5.82;207.1;8;91.93;1015.93
1;2;13;9.25;0.19;5.19;208.7;8;91.52;1016.61
1;2;14;9.25;0.00;4.64;214.2;8;91.44;1017.63
1;2;15;8.97;0.00;4.47;255.0;7;90.20;1018.86
1;2;16;8.60;0.00;3.76;267.9;1;88.10;1019.78
1;2;17;8.41;0.00;2.63;272.1;5;86.52;1020.42
1;2;18;8.05;0.00;3.13;238.4;6;86.25;1021.17
1;2;19;7.69;0.13;3.14;211.0;7;88.64;1022.06
1;2;20;8.05;0.00;3.96;210.8;7;88.51;1022.69
1;2;21;7.41;0.00;3.71;263.9;0;81.73;1023.46
1;2;22;5.99;0.00;4.10;193.6;7;85.78;1023.90
1;2;23;5.58;0.00;3.58;203.4;6;88.62;1024.13
1;3;0;5.30;0.00;3.49;200.2;0;89.40;1024.12
1;3;1;5.44;0.00;3.51;187.0;0;88.95;1024.00
1;3;2;5.06;0.00;3.08;176.7;0;88.37;1023.93
1;3;3;5.06;0.04;4.17;153.3;1;90.08;1023.64
1;3;4;5.97;1.29;5.31;153.8;8;92.12;1023.04
1;3;5;6.27;0.00;6.25;164.5;7;92.50;1022.96
1;3;6;6.56;0.00;5.96;181.1;7;92.38;1023.27
1;3;7;6.78;0.00;5.89;187.3;8;92.38;1023.41
1;3;8;6.89;0.00;6.71;179.6;6;92.52;1023.60
1;3;9;7.41;0.00;8.01;182.2;7;92.03;1023.84
1;3;10;7.83;0.00;8.30;190.8;5;90.95;1023.91
1;3;11;8.66;0.00;8.36;188.9;7;89.36;1023.46
1;3;12;9.40;0.00;8.87;187.0;4;86.32;1022.63
1;3;13;9.35;0.00;9.34;191.6;2;83.01;1021.80
1;3;14;9.38;0.00;9.47;183.0;7;83.10;1021.32
1;3;15;9.37;0.00;10.16;177.5;8;82.89;1021.05
1;3;16;9.42;0.00;10.17;182.1;8;83.16;1020.72
1;3;17;9.63;0.00;11.23;179.7;7;82.63;1020.27
1;3;18;9.66;0.00;12.67;181.6;8;81.38;1019.65
1;3;19;9.52;0.03;13.15;182.7;8;81.71;1018.71
1;3;20;9.49;0.03;13.07;182.9;8;83.56;1017.88
1;3;21;9.38;0.04;13.21;188.1;8;85.68;1017.01
1;3;22;9.32;0.13;13.34;187.0;8;88.77;1016.19
1;3;23;9.66;0.17;13.11;192.5;8;90.93;1015.69
1;4;0;10.11;0.03;12.63;196.3;8;91.85;1015.39
1;4;1;10.32;0.07;11.61;203.1;8;92.56;1015.14
1;4;2;10.60;0.06;10.74;198.8;8;93.52;1015.07
1;4;3;11.12;0.10;11.54;202.8;8;93.94;1014.43
1;4;4;11.23;0.03;11.21;199.0;8;94.18;1014.05
1;4;5;11.80;0.03;11.55;205.2;8;93.89;1013.57
