Month;Hour;AverageGlobalActivePower;StDevGlobalActivePower
1;0;1.3439;0.9949
1;1;1.1622;0.9491
1;2;0.8932;0.8281
1;3;0.8078;0.7961
1;4;0.7383;0.6897
1;5;0.7480;0.6811
1;6;0.7612;0.6742
1;7;0.9610;0.6290
1;8;1.9061;0.8584
1;9;1.9002;0.8856
1;10;1.6767;0.8241
1;11;1.5406;0.8946
1;12;1.5011;1.0371
1;13;1.5154;1.2632
1;14;1.3987;1.0978
1;15;1.3769;0.7682
1;16;1.5098;1.0126
1;17;1.6014;0.8056
1;18;2.0093;0.8489
1;19;2.5009;1.0847
1;20;2.6854;1.1438
1;21;2.7428;1.2605
1;22;2.3609;1.2485
1;23;1.5379;1.0302
2;0;1.4326;1.1119
2;1;1.1509;1.3398
2;2;1.0058;1.1769
2;3;0.8103;0.9368
2;4;0.7544;0.7895
2;5;0.6658;0.7569
2;6;0.7860;0.7902
2;7;1.4749;1.0783
2;8;1.9855;0.9976
2;9;1.8825;0.9996
2;10;1.5453;0.7854
2;11;1.3040;0.8382
2;12;1.2504;0.7889
2;13;1.3341;1.0455
2;14;1.1499;0.9051
2;15;1.2339;1.0463
2;16;1.1760;1.0504
2;17;0.9669;0.8597
2;18;0.9675;0.6858
2;19;1.7841;1.2179
2;20;2.4591;1.5540
2;21;2.3808;1.3412
2;22;2.2990;1.4242
2;23;1.8310;1.2367
3;0;1.0012;0.8731
3;1;0.6668;0.6350
3;2;0.5927;0.5457
3;3;0.5474;0.5535
3;4;0.5803;0.6406
3;5;0.5409;0.6342
3;6;0.5765;0.6555
3;7;1.1817;0.7307
3;8;1.8437;0.9099
3;9;1.6598;0.7192
3;10;1.5550;0.7796
3;11;1.4503;1.0723
3;12;1.1049;0.7159
3;13;1.0486;0.7089
3;14;1.1076;0.7515
3;15;1.1268;0.8602
3;16;1.1290;0.9700
3;17;1.0879;0.9357
3;18;1.1058;0.9465
3;19;1.5313;1.1808
3;20;2.9169;1.4641
3;21;2.7213;1.2599
3;22;2.5918;1.2076
3;23;1.9074;0.9183
4;0;1.0679;0.7737
4;1;0.6536;0.6731
4;2;0.5281;0.5473
4;3;0.4580;0.5038
4;4;0.4227;0.4460
4;5;0.3723;0.4079
4;6;0.4095;0.4105
4;7;0.5890;0.3999
4;8;1.2608;0.8511
4;9;1.1259;0.7935
4;10;1.1009;0.7026
4;11;1.1062;0.6692
4;12;1.0367;0.7383
4;13;0.7630;0.5690
4;14;0.5624;0.4796
4;15;0.6750;0.5810
4;16;0.6028;0.5805
4;17;0.5509;0.4882
4;18;0.6391;0.7332
4;19;0.9313;0.8677
4;20;1.3050;1.1571
4;21;1.3273;0.9196
4;22;2.0967;1.2363
4;23;1.8013;1.0099
5;0;0.9138;0.4837
5;1;0.5299;0.4130
5;2;0.3888;0.1977
5;3;0.3432;0.1709
5;4;0.3250;0.1992
5;5;0.3206;0.1495
5;6;0.3213;0.1431
5;7;0.7145;0.4533
5;8;1.1608;0.5230
5;9;1.3810;0.6780
5;10;1.2529;0.6729
5;11;0.9123;0.5861
5;12;0.8796;0.6199
5;13;0.9830;1.0067
5;14;1.0050;0.7863
5;15;1.1032;1.0174
5;16;0.9695;0.8078
